timestamp: Fri Feb 15 22:02:34 EST 2019
rank 32, test 4, use_barrier 0 time in seconds: 0.241194, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1 time in seconds: 0.177886, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0 time in seconds: 0.236524, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1 time in seconds: 0.234224, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0 time in seconds: 0.230232, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1 time in seconds: 0.254582, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0 time in seconds: 0.252420, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1 time in seconds: 0.259973, (use_barrier: 1, ranks: ./a.out)
rank 1, test 1, use_barrier 0 time in seconds: 0.296902, (use_barrier: 0, ranks: ./a.out)
rank 1, test 1, use_barrier 1 time in seconds: 0.298924, (use_barrier: 1, ranks: ./a.out)
rank 1, test 2, use_barrier 0 time in seconds: 0.290383, (use_barrier: 0, ranks: ./a.out)
rank 1, test 2, use_barrier 1 time in seconds: 0.287608, (use_barrier: 1, ranks: ./a.out)
rank 1, test 3, use_barrier 0 time in seconds: 0.287195, (use_barrier: 0, ranks: ./a.out)
rank 1, test 3, use_barrier 1 time in seconds: 0.293310, (use_barrier: 1, ranks: ./a.out)
rank 1, test 4, use_barrier 0 time in seconds: 0.289234, (use_barrier: 0, ranks: ./a.out)
rank 1, test 4, use_barrier 1 time in seconds: 0.294945, (use_barrier: 1, ranks: ./a.out)
rank 1, test 5, use_barrier 0 time in seconds: 0.302277, (use_barrier: 0, ranks: ./a.out)
rank 1, test 5, use_barrier 1 time in seconds: 0.287882, (use_barrier: 1, ranks: ./a.out)
rank 1, test 6, use_barrier 0 time in seconds: 0.301856, (use_barrier: 0, ranks: ./a.out)
rank 1, test 6, use_barrier 1 time in seconds: 0.307824, (use_barrier: 1, ranks: ./a.out)
rank 1, test 7, use_barrier 0 time in seconds: 0.303309, (use_barrier: 0, ranks: ./a.out)
rank 1, test 7, use_barrier 1 time in seconds: 0.304084, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0 time in seconds: 0.244501, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1 time in seconds: 0.239919, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0 time in seconds: 0.218588, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1 time in seconds: 0.246586, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0 time in seconds: 0.228321, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1 time in seconds: 0.224895, (use_barrier: 1, ranks: ./a.out)
