timestamp: Fri Feb 15 00:40:51 EST 2019
rank,test,barrier,time
rank 8, test 2, use_barrier 1time in seconds: 0.026726, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0time in seconds: 0.026775, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1time in seconds: 0.032701, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0time in seconds: 0.029281, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1time in seconds: 0.027670, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0time in seconds: 0.025555, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1time in seconds: 0.032135, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0time in seconds: 0.027102, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1time in seconds: 0.030872, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0time in seconds: 0.026935, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1time in seconds: 0.025476, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0time in seconds: 0.017772, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1time in seconds: 0.014568, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0time in seconds: 0.014370, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1time in seconds: 0.014518, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0time in seconds: 0.017376, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1time in seconds: 0.014823, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0time in seconds: 0.018653, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1time in seconds: 0.020252, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0time in seconds: 0.013861, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1time in seconds: 0.020009, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0time in seconds: 0.013857, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1time in seconds: 0.016488, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0time in seconds: 0.013884, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1time in seconds: 0.014213, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0time in seconds: 0.012048, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1time in seconds: 0.011482, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0time in seconds: 0.008449, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1time in seconds: 0.009687, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0time in seconds: 0.008209, (use_barrier: 0, ranks: ./a.out)
rank 32, test 3, use_barrier 1time in seconds: 0.008766, (use_barrier: 1, ranks: ./a.out)
rank 32, test 4, use_barrier 0time in seconds: 0.008344, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1time in seconds: 0.008952, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0time in seconds: 0.009521, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1time in seconds: 0.009256, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0time in seconds: 0.008044, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1time in seconds: 0.008753, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0time in seconds: 0.011710, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1time in seconds: 0.009109, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0time in seconds: 0.092184, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1time in seconds: 0.084884, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0time in seconds: 0.083624, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1time in seconds: 0.086615, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0time in seconds: 0.084726, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1time in seconds: 0.079417, (use_barrier: 1, ranks: ./a.out)
