timestamp: Sat Feb 16 07:44:21 EST 2019
rank 32, test 5, use_barrier 0 time in seconds: 0.071146, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1 time in seconds: 0.069752, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0 time in seconds: 0.070369, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1 time in seconds: 0.064813, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0 time in seconds: 0.082599, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1 time in seconds: 0.066801, (use_barrier: 1, ranks: ./a.out)
rank 1, test 1, use_barrier 0 time in seconds: 0.210245, (use_barrier: 0, ranks: ./a.out)
rank 1, test 1, use_barrier 1 time in seconds: 0.206620, (use_barrier: 1, ranks: ./a.out)
rank 1, test 2, use_barrier 0 time in seconds: 0.204921, (use_barrier: 0, ranks: ./a.out)
rank 1, test 2, use_barrier 1 time in seconds: 0.204117, (use_barrier: 1, ranks: ./a.out)
rank 1, test 3, use_barrier 0 time in seconds: 0.202134, (use_barrier: 0, ranks: ./a.out)
rank 1, test 3, use_barrier 1 time in seconds: 0.215634, (use_barrier: 1, ranks: ./a.out)
rank 1, test 4, use_barrier 0 time in seconds: 0.209321, (use_barrier: 0, ranks: ./a.out)
rank 1, test 4, use_barrier 1 time in seconds: 0.204815, (use_barrier: 1, ranks: ./a.out)
rank 1, test 5, use_barrier 0 time in seconds: 0.205650, (use_barrier: 0, ranks: ./a.out)
rank 1, test 5, use_barrier 1 time in seconds: 0.207676, (use_barrier: 1, ranks: ./a.out)
rank 1, test 6, use_barrier 0 time in seconds: 0.209966, (use_barrier: 0, ranks: ./a.out)
rank 1, test 6, use_barrier 1 time in seconds: 0.209255, (use_barrier: 1, ranks: ./a.out)
rank 1, test 7, use_barrier 0 time in seconds: 0.206272, (use_barrier: 0, ranks: ./a.out)
rank 1, test 7, use_barrier 1 time in seconds: 0.205357, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0 time in seconds: 0.132800, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1 time in seconds: 0.125236, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0 time in seconds: 0.130137, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1 time in seconds: 0.138168, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0 time in seconds: 0.134599, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1 time in seconds: 0.132373, (use_barrier: 1, ranks: ./a.out)
rank 2, test 4, use_barrier 0 time in seconds: 0.133769, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1 time in seconds: 0.146700, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0 time in seconds: 0.141566, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1 time in seconds: 0.135514, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0 time in seconds: 0.138471, (use_barrier: 0, ranks: ./a.out)
rank 2, test 6, use_barrier 1 time in seconds: 0.133704, (use_barrier: 1, ranks: ./a.out)
rank 2, test 7, use_barrier 0 time in seconds: 0.135564, (use_barrier: 0, ranks: ./a.out)
rank 2, test 7, use_barrier 1 time in seconds: 0.133921, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0 time in seconds: 0.107404, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1 time in seconds: 0.104068, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0 time in seconds: 0.107018, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1 time in seconds: 0.095030, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0 time in seconds: 0.084921, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1 time in seconds: 0.107065, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0 time in seconds: 0.113666, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1 time in seconds: 0.103844, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0 time in seconds: 0.107285, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1 time in seconds: 0.105722, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0 time in seconds: 0.099691, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1 time in seconds: 0.113123, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0 time in seconds: 0.101711, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1 time in seconds: 0.099050, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0 time in seconds: 0.082491, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1 time in seconds: 0.083951, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0 time in seconds: 0.080316, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1 time in seconds: 0.089053, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0 time in seconds: 0.084103, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1 time in seconds: 0.084566, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0 time in seconds: 0.098039, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1 time in seconds: 0.083801, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0 time in seconds: 0.083907, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1 time in seconds: 0.088794, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0 time in seconds: 0.081684, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1 time in seconds: 0.095412, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0 time in seconds: 0.085661, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1 time in seconds: 0.089256, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0 time in seconds: 0.075453, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1 time in seconds: 0.076623, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0 time in seconds: 0.091093, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1 time in seconds: 0.085875, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0 time in seconds: 0.062466, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1 time in seconds: 0.077702, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0 time in seconds: 0.080334, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1 time in seconds: 0.090008, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0 time in seconds: 0.071173, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1 time in seconds: 0.080835, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0 time in seconds: 0.076550, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1 time in seconds: 0.076119, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0 time in seconds: 0.084411, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1 time in seconds: 0.063829, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0 time in seconds: 0.064445, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1 time in seconds: 0.081414, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0 time in seconds: 0.086930, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1 time in seconds: 0.090452, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0 time in seconds: 0.089201, (use_barrier: 0, ranks: ./a.out)
rank 32, test 3, use_barrier 1 time in seconds: 0.074856, (use_barrier: 1, ranks: ./a.out)
rank 32, test 4, use_barrier 0 time in seconds: 0.087074, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1 time in seconds: 0.074656, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0 time in seconds: 0.069331, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1 time in seconds: 0.071642, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0 time in seconds: 0.077462, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1 time in seconds: 0.089696, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0 time in seconds: 0.090765, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1 time in seconds: 0.084322, (use_barrier: 1, ranks: ./a.out)
rank 1, test 1, use_barrier 0 time in seconds: 0.212194, (use_barrier: 0, ranks: ./a.out)
rank 1, test 1, use_barrier 1 time in seconds: 0.206760, (use_barrier: 1, ranks: ./a.out)
rank 1, test 2, use_barrier 0 time in seconds: 0.220846, (use_barrier: 0, ranks: ./a.out)
rank 1, test 2, use_barrier 1 time in seconds: 0.203666, (use_barrier: 1, ranks: ./a.out)
rank 1, test 3, use_barrier 0 time in seconds: 0.208703, (use_barrier: 0, ranks: ./a.out)
rank 1, test 3, use_barrier 1 time in seconds: 0.207841, (use_barrier: 1, ranks: ./a.out)
rank 1, test 4, use_barrier 0 time in seconds: 0.208331, (use_barrier: 0, ranks: ./a.out)
rank 1, test 4, use_barrier 1 time in seconds: 0.206214, (use_barrier: 1, ranks: ./a.out)
rank 1, test 5, use_barrier 0 time in seconds: 0.208937, (use_barrier: 0, ranks: ./a.out)
rank 1, test 5, use_barrier 1 time in seconds: 0.210125, (use_barrier: 1, ranks: ./a.out)
rank 1, test 6, use_barrier 0 time in seconds: 0.204479, (use_barrier: 0, ranks: ./a.out)
rank 1, test 6, use_barrier 1 time in seconds: 0.207530, (use_barrier: 1, ranks: ./a.out)
rank 1, test 7, use_barrier 0 time in seconds: 0.206136, (use_barrier: 0, ranks: ./a.out)
rank 1, test 7, use_barrier 1 time in seconds: 0.208719, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0 time in seconds: 0.140052, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1 time in seconds: 0.136451, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0 time in seconds: 0.132358, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1 time in seconds: 0.123766, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0 time in seconds: 0.139123, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1 time in seconds: 0.135675, (use_barrier: 1, ranks: ./a.out)
rank 2, test 4, use_barrier 0 time in seconds: 0.137291, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1 time in seconds: 0.136423, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0 time in seconds: 0.135864, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1 time in seconds: 0.148412, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0 time in seconds: 0.133201, (use_barrier: 0, ranks: ./a.out)
