timestamp: Sat Feb 16 07:44:21 EST 201
rank,test,barrier,time
1,7,1,0.208751
2,1,0,0.142119
2,1,1,0.144495
2,2,0,0.137007
2,2,1,0.141514
2,3,0,0.132433
2,3,1,0.136168
2,4,0,0.145723
2,4,1,0.135176
2,5,0,0.136148
2,5,1,0.139387
2,6,0,0.138916
2,6,1,0.126697
2,7,0,0.132526
2,7,1,0.137005
4,1,0,0.101142
4,1,1,0.100284
4,2,0,0.105123
4,2,1,0.095687
4,3,0,0.100395
4,3,1,0.099370
4,4,0,0.099003
4,4,1,0.110276
4,5,0,0.095116
4,5,1,0.108663
4,6,0,0.106936
4,6,1,0.102685
4,7,0,0.104015
4,7,1,0.102848
8,1,0,0.086071
8,1,1,0.091099
8,2,0,0.084335
8,2,1,0.087888
8,3,0,0.074064
8,3,1,0.081805
8,4,0,0.093064
8,4,1,0.084878
8,5,0,0.083067
8,5,1,0.087784
8,6,0,0.078758
8,6,1,0.076637
8,7,0,0.081043
8,7,1,0.086813
16,1,0,0.064257
16,1,1,0.087225
16,2,0,0.080585
16,2,1,0.070046
16,3,0,0.068937
16,3,1,0.068725
16,4,0,0.072221
16,4,1,0.076291
16,5,0,0.074777
16,5,1,0.090566
16,6,0,0.078934
16,6,1,0.068481
16,7,0,0.076594
16,7,1,0.074109
32,1,0,0.064473
32,1,1,0.071394
32,2,0,0.088485
32,2,1,0.081414
32,3,0,0.056323
32,3,1,0.086464
32,4,0,0.093208
32,4,1,0.079359
32,5,0,0.063370
32,5,1,0.083528
32,6,0,0.089798
32,6,1,0.083898
32,7,0,0.082722
32,7,1,0.074940
